date_id,full_date,year,month,day,weeknum,day_of_week,quarter
347,2011-12-13,2011,12,13,50,Tuesday,4
348,2011-12-14,2011,12,14,50,Wednesday,4
349,2011-12-15,2011,12,15,50,Thursday,4
350,2011-12-16,2011,12,16,50,Friday,4
351,2011-12-17,2011,12,17,50,Saturday,4
352,2011-12-18,2011,12,18,50,Sunday,4
353,2011-12-19,2011,12,19,51,Monday,4
354,2011-12-20,2011,12,20,51,Tuesday,4
355,2011-12-21,2011,12,21,51,Wednesday,4
356,2011-12-22,2011,12,22,51,Thursday,4
357,2011-12-23,2011,12,23,51,Friday,4
358,2011-12-24,2011,12,24,51,Saturday,4
359,2011-12-25,2011,12,25,51,Sunday,4
360,2011-12-26,2011,12,26,52,Monday,4
361,2011-12-27,2011,12,27,52,Tuesday,4
362,2011-12-28,2011,12,28,52,Wednesday,4
363,2011-12-29,2011,12,29,52,Thursday,4
364,2011-12-30,2011,12,30,52,Friday,4
365,2011-12-31,2011,12,31,52,Saturday,4
366,2012-01-01,2012,1,1,52,Sunday,1
367,2012-01-02,2012,1,2,1,Monday,1
368,2012-01-03,2012,1,3,1,Tuesday,1
369,2012-01-04,2012,1,4,1,Wednesday,1
370,2012-01-05,2012,1,5,1,Thursday,1
371,2012-01-06,2012,1,6,1,Friday,1
372,2012-01-07,2012,1,7,1,Saturday,1
373,2012-01-08,2012,1,8,1,Sunday,1
374,2012-01-09,2012,1,9,2,Monday,1
375,2012-01-10,2012,1,10,2,Tuesday,1
376,2012-01-11,2012,1,11,2,Wednesday,1
377,2012-01-12,2012,1,12,2,Thursday,1
378,2012-01-13,2012,1,13,2,Friday,1
379,2012-01-14,2012,1,14,2,Saturday,1
380,2012-01-15,2012,1,15,2,Sunday,1
381,2012-01-16,2012,1,16,3,Monday,1
382,2012-01-17,2012,1,17,3,Tuesday,1
383,2012-01-18,2012,1,18,3,Wednesday,1
384,2012-01-19,2012,1,19,3,Thursday,1
385,2012-01-20,2012,1,20,3,Friday,1
386,2012-01-21,2012,1,21,3,Saturday,1
387,2012-01-22,2012,1,22,3,Sunday,1
388,2012-01-23,2012,1,23,4,Monday,1
389,2012-01-24,2012,1,24,4,Tuesday,1
390,2012-01-25,2012,1,25,4,Wednesday,1
391,2012-01-26,2012,1,26,4,Thursday,1
392,2012-01-27,2012,1,27,4,Friday,1
393,2012-01-28,2012,1,28,4,Saturday,1
394,2012-01-29,2012,1,29,4,Sunday,1
395,2012-01-30,2012,1,30,5,Monday,1
396,2012-01-31,2012,1,31,5,Tuesday,1
397,2012-02-01,2012,2,1,5,Wednesday,1
398,2012-02-02,2012,2,2,5,Thursday,1
399,2012-02-03,2012,2,3,5,Friday,1
400,2012-02-04,2012,2,4,5,Saturday,1
401,2012-02-05,2012,2,5,5,Sunday,1
402,2012-02-06,2012,2,6,6,Monday,1
403,2012-02-07,2012,2,7,6,Tuesday,1
404,2012-02-08,2012,2,8,6,Wednesday,1
405,2012-02-09,2012,2,9,6,Thursday,1
406,2012-02-10,2012,2,10,6,Friday,1
407,2012-02-11,2012,2,11,6,Saturday,1
408,2012-02-12,2012,2,12,6,Sunday,1
409,2012-02-13,2012,2,13,7,Monday,1
410,2012-02-14,2012,2,14,7,Tuesday,1
411,2012-02-15,2012,2,15,7,Wednesday,1
412,2012-02-16,2012,2,16,7,Thursday,1
413,2012-02-17,2012,2,17,7,Friday,1
414,2012-02-18,2012,2,18,7,Saturday,1
415,2012-02-19,2012,2,19,7,Sunday,1
416,2012-02-20,2012,2,20,8,Monday,1
417,2012-02-21,2012,2,21,8,Tuesday,1
418,2012-02-22,2012,2,22,8,Wednesday,1
419,2012-02-23,2012,2,23,8,Thursday,1
420,2012-02-24,2012,2,24,8,Friday,1
421,2012-02-25,2012,2,25,8,Saturday,1
422,2012-02-26,2012,2,26,8,Sunday,1
423,2012-02-27,2012,2,27,9,Monday,1
424,2012-02-28,2012,2,28,9,Tuesday,1
425,2012-02-29,2012,2,29,9,Wednesday,1
426,2012-03-01,2012,3,1,9,Thursday,1
427,2012-03-02,2012,3,2,9,Friday,1
428,2012-03-03,2012,3,3,9,Saturday,1
429,2012-03-04,2012,3,4,9,Sunday,1
430,2012-03-05,2012,3,5,10,Monday,1
431,2012-03-06,2012,3,6,10,Tuesday,1
432,2012-03-07,2012,3,7,10,Wednesday,1
433,2012-03-08,2012,3,8,10,Thursday,1
434,2012-03-09,2012,3,9,10,Friday,1
435,2012-03-10,2012,3,10,10,Saturday,1
436,2012-03-11,2012,3,11,10,Sunday,1
437,2012-03-12,2012,3,12,11,Monday,1
438,2012-03-13,2012,3,13,11,Tuesday,1
439,2012-03-14,2012,3,14,11,Wednesday,1
440,2012-03-15,2012,3,15,11,Thursday,1
441,2012-03-16,2012,3,16,11,Friday,1
442,2012-03-17,2012,3,17,11,Saturday,1
443,2012-03-18,2012,3,18,11,Sunday,1
444,2012-03-19,2012,3,19,12,Monday,1
445,2012-03-20,2012,3,20,12,Tuesday,1
446,2012-03-21,2012,3,21,12,Wednesday,1
447,2012-03-22,2012,3,22,12,Thursday,1
448,2012-03-23,2012,3,23,12,Friday,1
449,2012-03-24,2012,3,24,12,Saturday,1
450,2012-03-25,2012,3,25,12,Sunday,1
451,2012-03-26,2012,3,26,13,Monday,1
452,2012-03-27,2012,3,27,13,Tuesday,1
453,2012-03-28,2012,3,28,13,Wednesday,1
454,2012-03-29,2012,3,29,13,Thursday,1
455,2012-03-30,2012,3,30,13,Friday,1
456,2012-03-31,2012,3,31,13,Saturday,1
457,2012-04-01,2012,4,1,13,Sunday,2
458,2012-04-02,2012,4,2,14,Monday,2
459,2012-04-03,2012,4,3,14,Tuesday,2
460,2012-04-04,2012,4,4,14,Wednesday,2
461,2012-04-05,2012,4,5,14,Thursday,2
462,2012-04-06,2012,4,6,14,Friday,2
463,2012-04-07,2012,4,7,14,Saturday,2
464,2012-04-08,2012,4,8,14,Sunday,2
465,2012-04-09,2012,4,9,15,Monday,2
466,2012-04-10,2012,4,10,15,Tuesday,2
467,2012-04-11,2012,4,11,15,Wednesday,2
468,2012-04-12,2012,4,12,15,Thursday,2
469,2012-04-13,2012,4,13,15,Friday,2
470,2012-04-14,2012,4,14,15,Saturday,2
471,2012-04-15,2012,4,15,15,Sunday,2
472,2012-04-16,2012,4,16,16,Monday,2
473,2012-04-17,2012,4,17,16,Tuesday,2
474,2012-04-18,2012,4,18,16,Wednesday,2
475,2012-04-19,2012,4,19,16,Thursday,2
476,2012-04-20,2012,4,20,16,Friday,2
477,2012-04-21,2012,4,21,16,Saturday,2
478,2012-04-22,2012,4,22,16,Sunday,2
479,2012-04-23,2012,4,23,17,Monday,2
480,2012-04-24,2012,4,24,17,Tuesday,2
481,2012-04-25,2012,4,25,17,Wednesday,2
482,2012-04-26,2012,4,26,17,Thursday,2
483,2012-04-27,2012,4,27,17,Friday,2
484,2012-04-28,2012,4,28,17,Saturday,2
485,2012-04-29,2012,4,29,17,Sunday,2
486,2012-04-30,2012,4,30,18,Monday,2
487,2012-05-01,2012,5,1,18,Tuesday,2
488,2012-05-02,2012,5,2,18,Wednesday,2
489,2012-05-03,2012,5,3,18,Thursday,2
490,2012-05-04,2012,5,4,18,Friday,2
491,2012-05-05,2012,5,5,18,Saturday,2
492,2012-05-06,2012,5,6,18,Sunday,2
493,2012-05-07,2012,5,7,19,Monday,2
494,2012-05-08,2012,5,8,19,Tuesday,2
495,2012-05-09,2012,5,9,19,Wednesday,2
496,2012-05-10,2012,5,10,19,Thursday,2
497,2012-05-11,2012,5,11,19,Friday,2
498,2012-05-12,2012,5,12,19,Saturday,2
499,2012-05-13,2012,5,13,19,Sunday,2
500,2012-05-14,2012,5,14,20,Monday,2
501,2012-05-15,2012,5,15,20,Tuesday,2
502,2012-05-16,2012,5,16,20,Wednesday,2
503,2012-05-17,2012,5,17,20,Thursday,2
504,2012-05-18,2012,5,18,20,Friday,2
505,2012-05-19,2012,5,19,20,Saturday,2
506,2012-05-20,2012,5,20,20,Sunday,2
507,2012-05-21,2012,5,21,21,Monday,2
508,2012-05-22,2012,5,22,21,Tuesday,2
509,2012-05-23,2012,5,23,21,Wednesday,2
510,2012-05-24,2012,5,24,21,Thursday,2
511,2012-05-25,2012,5,25,21,Friday,2
512,2012-05-26,2012,5,26,21,Saturday,2
513,2012-05-27,2012,5,27,21,Sunday,2
514,2012-05-28,2012,5,28,22,Monday,2
515,2012-05-29,2012,5,29,22,Tuesday,2
516,2012-05-30,2012,5,30,22,Wednesday,2
517,2012-05-31,2012,5,31,22,Thursday,2
518,2012-06-01,2012,6,1,22,Friday,2
519,2012-06-02,2012,6,2,22,Saturday,2
520,2012-06-03,2012,6,3,22,Sunday,2
521,2012-06-04,2012,6,4,23,Monday,2
522,2012-06-05,2012,6,5,23,Tuesday,2
523,2012-06-06,2012,6,6,23,Wednesday,2
524,2012-06-07,2012,6,7,23,Thursday,2
525,2012-06-08,2012,6,8,23,Friday,2
526,2012-06-09,2012,6,9,23,Saturday,2
527,2012-06-10,2012,6,10,23,Sunday,2
528,2012-06-11,2012,6,11,24,Monday,2
529,2012-06-12,2012,6,12,24,Tuesday,2
530,2012-06-13,2012,6,13,24,Wednesday,2
531,2012-06-14,2012,6,14,24,Thursday,2
532,2012-06-15,2012,6,15,24,Friday,2
533,2012-06-16,2012,6,16,24,Saturday,2
534,2012-06-17,2012,6,17,24,Sunday,2
535,2012-06-18,2012,6,18,25,Monday,2
536,2012-06-19,2012,6,19,25,Tuesday,2
537,2012-06-20,2012,6,20,25,Wednesday,2
538,2012-06-21,2012,6,21,25,Thursday,2
539,2012-06-22,2012,6,22,25,Friday,2
540,2012-06-23,2012,6,23,25,Saturday,2
541,2012-06-24,2012,6,24,25,Sunday,2
542,2012-06-25,2012,6,25,26,Monday,2
543,2012-06-26,2012,6,26,26,Tuesday,2
544,2012-06-27,2012,6,27,26,Wednesday,2
545,2012-06-28,2012,6,28,26,Thursday,2
546,2012-06-29,2012,6,29,26,Friday,2
547,2012-06-30,2012,6,30,26,Saturday,2
548,2012-07-01,2012,7,1,26,Sunday,3
549,2012-07-02,2012,7,2,27,Monday,3
550,2012-07-03,2012,7,3,27,Tuesday,3
551,2012-07-04,2012,7,4,27,Wednesday,3
552,2012-07-05,2012,7,5,27,Thursday,3
553,2012-07-06,2012,7,6,27,Friday,3
554,2012-07-07,2012,7,7,27,Saturday,3
555,2012-07-08,2012,7,8,27,Sunday,3
